presentation_id,scenario_id,repeat,sample_a_ref,sample_b_ref,rater_id,sample_a_naturalness,sample_a_warmth,sample_a_clarity,sample_a_pronunciation,sample_a_expressiveness,sample_a_confidence,sample_a_conversational_pacing,sample_a_feels_like_a_real_human,sample_b_naturalness,sample_b_warmth,sample_b_clarity,sample_b_pronunciation,sample_b_expressiveness,sample_b_confidence,sample_b_conversational_pacing,sample_b_feels_like_a_real_human,preferred_sample,notes
allergy_question-08,allergy_question,8,,,,,,,,,,,,,,,,,,,,,
allergy_question-09,allergy_question,9,,,,,,,,,,,,,,,,,,,,,
allergy_question-10,allergy_question,10,,,,,,,,,,,,,,,,,,,,,
reservation_availability-01,reservation_availability,1,,,,,,,,,,,,,,,,,,,,,
reservation_availability-02,reservation_availability,2,,,,,,,,,,,,,,,,,,,,,
reservation_availability-03,reservation_availability,3,,,,,,,,,,,,,,,,,,,,,
reservation_availability-04,reservation_availability,4,,,,,,,,,,,,,,,,,,,,,
reservation_availability-05,reservation_availability,5,,,,,,,,,,,,,,,,,,,,,
reservation_availability-06,reservation_availability,6,,,,,,,,,,,,,,,,,,,,,
reservation_availability-07,reservation_availability,7,,,,,,,,,,,,,,,,,,,,,
reservation_availability-08,reservation_availability,8,,,,,,,,,,,,,,,,,,,,,
reservation_availability-09,reservation_availability,9,,,,,,,,,,,,,,,,,,,,,
reservation_availability-10,reservation_availability,10,,,,,,,,,,,,,,,,,,,,,
order_correction-01,order_correction,1,,,,,,,,,,,,,,,,,,,,,
order_correction-02,order_correction,2,,,,,,,,,,,,,,,,,,,,,
order_correction-03,order_correction,3,,,,,,,,,,,,,,,,,,,,,
order_correction-04,order_correction,4,,,,,,,,,,,,,,,,,,,,,
order_correction-05,order_correction,5,,,,,,,,,,,,,,,,,,,,,
order_correction-06,order_correction,6,,,,,,,,,,,,,,,,,,,,,
order_correction-07,order_correction,7,,,,,,,,,,,,,,,,,,,,,
order_correction-08,order_correction,8,,,,,,,,,,,,,,,,,,,,,
order_correction-09,order_correction,9,,,,,,,,,,,,,,,,,,,,,
order_correction-10,order_correction,10,,,,,,,,,,,,,,,,,,,,,
frustration-01,frustration,1,,,,,,,,,,,,,,,,,,,,,
frustration-02,frustration,2,,,,,,,,,,,,,,,,,,,,,
frustration-03,frustration,3,,,,,,,,,,,,,,,,,,,,,
frustration-04,frustration,4,,,,,,,,,,,,,,,,,,,,,
frustration-05,frustration,5,,,,,,,,,,,,,,,,,,,,,
frustration-06,frustration,6,,,,,,,,,,,,,,,,,,,,,
frustration-07,frustration,7,,,,,,,,,,,,,,,,,,,,,
frustration-08,frustration,8,,,,,,,,,,,,,,,,,,,,,
frustration-09,frustration,9,,,,,,,,,,,,,,,,,,,,,
frustration-10,frustration,10,,,,,,,,,,,,,,,,,,,,,
interruption-01,interruption,1,,,,,,,,,,,,,,,,,,,,,
interruption-02,interruption,2,,,,,,,,,,,,,,,,,,,,,
interruption-03,interruption,3,,,,,,,,,,,,,,,,,,,,,
interruption-04,interruption,4,,,,,,,,,,,,,,,,,,,,,
interruption-05,interruption,5,,,,,,,,,,,,,,,,,,,,,
interruption-06,interruption,6,,,,,,,,,,,,,,,,,,,,,
interruption-07,interruption,7,,,,,,,,,,,,,,,,,,,,,
interruption-08,interruption,8,,,,,,,,,,,,,,,,,,,,,
interruption-09,interruption,9,,,,,,,,,,,,,,,,,,,,,
interruption-10,interruption,10,,,,,,,,,,,,,,,,,,,,,
silence_incomplete_input-01,silence_incomplete_input,1,,,,,,,,,,,,,,,,,,,,,
silence_incomplete_input-02,silence_incomplete_input,2,,,,,,,,,,,,,,,,,,,,,
silence_incomplete_input-03,silence_incomplete_input,3,,,,,,,,,,,,,,,,,,,,,
silence_incomplete_input-04,silence_incomplete_input,4,,,,,,,,,,,,,,,,,,,,,
silence_incomplete_input-05,silence_incomplete_input,5,,,,,,,,,,,,,,,,,,,,,
silence_incomplete_input-06,silence_incomplete_input,6,,,,,,,,,,,,,,,,,,,,,
silence_incomplete_input-07,silence_incomplete_input,7,,,,,,,,,,,,,,,,,,,,,
silence_incomplete_input-08,silence_incomplete_input,8,,,,,,,,,,,,,,,,,,,,,
silence_incomplete_input-09,silence_incomplete_input,9,,,,,,,,,,,,,,,,,,,,,
silence_incomplete_input-10,silence_incomplete_input,10,,,,,,,,,,,,,,,,,,,,,
unknown_request-01,unknown_request,1,,,,,,,,,,,,,,,,,,,,,
unknown_request-02,unknown_request,2,,,,,,,,,,,,,,,,,,,,,
unknown_request-03,unknown_request,3,,,,,,,,,,,,,,,,,,,,,
unknown_request-04,unknown_request,4,,,,,,,,,,,,,,,,,,,,,
unknown_request-05,unknown_request,5,,,,,,,,,,,,,,,,,,,,,
unknown_request-06,unknown_request,6,,,,,,,,,,,,,,,,,,,,,
unknown_request-07,unknown_request,7,,,,,,,,,,,,,,,,,,,,,
unknown_request-08,unknown_request,8,,,,,,,,,,,,,,,,,,,,,
unknown_request-09,unknown_request,9,,,,,,,,,,,,,,,,,,,,,
unknown_request-10,unknown_request,10,,,,,,,,,,,,,,,,,,,,,
transfer_unavailable-01,transfer_unavailable,1,,,,,,,,,,,,,,,,,,,,,
transfer_unavailable-02,transfer_unavailable,2,,,,,,,,,,,,,,,,,,,,,
transfer_unavailable-03,transfer_unavailable,3,,,,,,,,,,,,,,,,,,,,,
transfer_unavailable-04,transfer_unavailable,4,,,,,,,,,,,,,,,,,,,,,
transfer_unavailable-05,transfer_unavailable,5,,,,,,,,,,,,,,,,,,,,,
transfer_unavailable-06,transfer_unavailable,6,,,,,,,,,,,,,,,,,,,,,
transfer_unavailable-07,transfer_unavailable,7,,,,,,,,,,,,,,,,,,,,,
transfer_unavailable-08,transfer_unavailable,8,,,,,,,,,,,,,,,,,,,,,
transfer_unavailable-09,transfer_unavailable,9,,,,,,,,,,,,,,,,,,,,,
transfer_unavailable-10,transfer_unavailable,10,,,,,,,,,,,,,,,,,,,,,
personal_identity-01,personal_identity,1,,,,,,,,,,,,,,,,,,,,,
personal_identity-02,personal_identity,2,,,,,,,,,,,,,,,,,,,,,
personal_identity-03,personal_identity,3,,,,,,,,,,,,,,,,,,,,,
personal_identity-04,personal_identity,4,,,,,,,,,,,,,,,,,,,,,
personal_identity-05,personal_identity,5,,,,,,,,,,,,,,,,,,,,,
personal_identity-06,personal_identity,6,,,,,,,,,,,,,,,,,,,,,
personal_identity-07,personal_identity,7,,,,,,,,,,,,,,,,,,,,,
personal_identity-08,personal_identity,8,,,,,,,,,,,,,,,,,,,,,
personal_identity-09,personal_identity,9,,,,,,,,,,,,,,,,,,,,,
personal_identity-10,personal_identity,10,,,,,,,,,,,,,,,,,,,,,
